PC1,PC2,classe,conjunto
2.0562458112904483,2.481779911827518,defeituoso,validacao
0.12371231273909591,1.9897795567760521,defeituoso,validacao
2.435717854442632,1.662486150727198,defeituoso,validacao
2.0509957942872132,2.0704725115882527,defeituoso,validacao
0.14042343186515083,0.8608238263187756,defeituoso,validacao
3.306242726586654,2.538398030750393,defeituoso,validacao
-0.7939807512701565,0.03467859256819633,defeituoso,teste
1.4938105580452146,1.9612301493307327,defeituoso,teste
-0.060860293489617044,1.7118481643178662,defeituoso,teste
1.4376196857357915,2.887549754493178,defeituoso,teste
-2.706745303390906,-0.8907753436945196,ok,teste
-2.5782585933012774,-1.8492277969214688,ok,teste
0.9857998936167445,-2.704159700689905,defeituoso,teste
0.9339582545106598,1.601779423200967,defeituoso,teste
-3.543517878773836,-1.6224090881201727,ok,teste
1.243424322954233,2.617758687446234,defeituoso,teste
0.1919356849533593,1.8157946002660779,defeituoso,teste
-0.3489411392927641,0.851308908627414,ok,teste
-3.264973824807575,-2.499820966717159,ok,teste
2.5499435063272156,2.1161398074192848,defeituoso,teste
-2.285033484792468,-0.057067779889091584,ok,teste
-2.075790742491442,-0.7542189529429677,defeituoso,teste
-2.6702367822693143,-0.8817407385965798,ok,teste
1.491090556045654,1.8631221476644202,defeituoso,teste
1.1293315189943962,-3.589645334897786,defeituoso,teste
-0.6312204855890272,-0.6601016134907255,ok,teste
-3.2022324255560313,-0.9351992179584749,ok,teste
-0.04381693487554083,1.9036172096014685,defeituoso,teste
-2.181243441810376,-0.6321510734119672,ok,teste
-3.129267229598313,-1.1460550434884387,ok,teste
-2.9091310690637697,-1.0747486660569006,ok,teste
1.99001472008983,1.7985010930736802,defeituoso,teste
-2.2870907340325126,-3.683339432314987,ok,teste
-3.1382424690771815,-0.955510567331903,defeituoso,teste
-2.5551546926738604,-1.1553505557478343,ok,teste
9.9154885077603,-6.798554905721767,ok,teste
